Country,CO2_emissions_miltonnes,,%_change_since_1990,,CO2_emissions_per_capita_tonnes,,CO2_emissions_per_km2_tonnes,
Kazakhstan,227.39,,...,,14.76,,83.45,
Kenya,11.24,,93,,0.3,,19.36,
Kiribati,0.03,,50,,0.35,,45.45,
"Korea, Dem. People's Rep.",70.71,,-71.1,,2.98,,586.63,
"Korea, Republic of",503.32,,108.2,,10.49,, 5 049.47,
Kuwait,86.14,,111.4,,30.21,, 4 834.72,
Kyrgyzstan,6.08,,...,,1.14,,30.41,
Lao People's Dem. Rep.,1.54,,553.6,,0.25,,6.49,
Latvia,8.61,,-55.2,,3.79,,133.34,
Lebanon,13.35,,46.8,,3.21,, 1 277.75,
Liberia,0.68,,39.5,,0.19,,6.06,
Libyan Arab Jamahiriya,57.33,,42.2,,9.29,,32.58,
Liechtenstein,0.21,,4,,6,, 1 320.50,
Lithuania,15.92,,-55.9,,4.74,,243.73,
Luxembourg,11.84,,-2.4,,24.93,, 4 580.06,
Madagascar,2.25,,128.4,,0.12,,3.84,
Malawi,1.06,,72.5,,0.07,,8.91,
Malaysia,194.48,,243.6,,7.32,,587.89,
Maldives,0.9,,483.1,,2.99,, 2 993.33,
Mali,0.58,,37.2,,0.05,,0.47,
Malta,2.73,,25.3,,6.71,, 8 639.24,
Marshall Islands,0.1,,106.2,,1.67,,546.96,
Martinique,1.95,,-5.9,,4.85,, 1 766.79,
Mauritania,1.95,,-26.8,,0.62,,1.9,
Mauritius,3.89,,165.9,,3.06,, 1 906.86,
Mexico,471.46,,31.9,,4.39,,240,
"Micronesia, Federated States of",0.06,,...,,0.56,,88.32,
Monaco,0.09,,-12.6,,2.82,, 46 030.01,
Mongolia,10.58,,5.4,,4.05,,6.77,
Montserrat,0.08,,133.3,,13.11,,754.9,
Morocco,46.4,,97.1,,1.49,,103.91,
Mozambique,2.6,,160,,0.12,,3.24,
Myanmar,13.19,,208.5,,0.27,,19.5,
Namibia,3.04,,43271.4,,1.45,,3.68,
Nauru,0.14,,8.3,,14.09,, 6 809.52,
Nepal,3.42,,440.2,,0.12,,23.27,
Netherlands,172.66,,8.4,,10.49,, 4 622.14,
Netherlands Antilles,6.24,,0.4,,32.47,, 7 797.50,
New Caledonia,2.85,,75.4,,11.75,,153.38,
New Zealand,35.23,,39,,8.4,,130.26,
Nicaragua,4.59,,73.6,,0.82,,35.21,
Niger,0.91,,-4.6,,0.06,,0.72,
Nigeria,95.27,,110,,0.64,,103.13,
Niue,0,,0,,2.57,,15.38,
Norway,45,,29.3,,9.53,,138.97,
Occupied Palestinian Territory,2.33,,...,,0.58,,386.21,
Oman,37.32,,260.5,,13.69,,120.58,
Pakistan,156.39,,128.1,,0.9,,196.45,
Palau,0.21,,-9.4,,10.49,,464.05,
Panama,7.25,,131.3,,2.17,,96,
Papua New Guinea,3.37,,57.1,,0.52,,7.27,
Paraguay,4.13,,82.6,,0.67,,10.16,
Peru,42.99,,103.1,,1.51,,33.45,
Philippines,70.92,,59.2,,0.8,,236.39,
Poland,328.27,,-11,,8.61,, 1 049.86,
Portugal,62.79,,44,,5.9,,681.86,
Qatar,63.05,,435.5,,55.43,, 5 442.26,
Republic of Moldova,4.7,,...,,1.28,,139.01,
R_union,2.8,,92.8,,3.48,, 1 115.54,
Romania,110.88,,-35.6,,5.17,,465.13,
Russian Federation, 1 579.82,,-36.8,,11.13,,92.4,
Rwanda,0.71,,4.8,,0.08,,27.15,
Saint Helena,0.01,,57.1,,2.4,,35.71,
Saint Kitts and Nevis,0.25,,277.3,,4.94,,954.02,
Saint Lucia,0.38,,130.9,,2.26,,706.86,
Saint Pierre and Miquelon,0.07,,-28.3,,10.83,,272.73,
Samoa,0.16,,28.8,,0.9,,56.87,
Sao Tome and Principe,0.13,,93.9,,0.81,,132.78,
Saudi Arabia,402.45,,87.1,,16.31,,187.21,
Senegal,5.48,,72.1,,0.46,,27.85,
Serbia and Montenegro,53.59,,...,,5.13,,524.53,
Seychelles,0.62,,446.5,,7.47,, 1 369.23,
Sierra Leone,1.31,,237.5,,0.24,,18.3,
Singapore,54.19,,15.4,,12.08,, 76 855.77,
Slovakia,38.14,,-38.4,,7.07,,777.84,
Slovenia,16.99,,15.2,,8.45,,838.02,
Solomon Islands,0.2,,23,,0.4,,6.85,
Somalia,0.6,,3238.9,,0.07,,0.94,
South Africa,433.53,,30,,8.82,,355.62,
Spain,366,,60.2,,8.32,,723.33,
Sri Lanka,12.31,,226.4,,0.62,,187.68,
St. Vincent and the Grenadines,0.2,,149.4,,1.85,,519.28,
Sudan,11.52,,107.3,,0.28,,4.6,
Suriname,2.44,,34.7,,4.78,,14.89,
Swaziland,1.06,,149.4,,0.92,,61.05,
Sweden,51.62,,-8.3,,5.64,,116.96,
Switzerland,43.64,,-1.9,,5.81,, 1 057.16,
Syrian Arab Republic,69.89,,86.6,,3.41,,377.43,
Tajikistan,7.23,,...,,1.07,,50.51,
Thailand,277.51,,189.6,,4.14,,540.83,
The Former Yugoslav Rep. of  Macedonia,11.28,,...,,5.53,,438.53,
Timor-Leste,0.18,,...,,0.17,,12.3,
Togo,1.32,,70,,0.21,,23.18,
Tonga,0.18,,128.6,,1.71,,235.61,
Trinidad and Tobago,37.04,,118.4,,27.88,, 7 219.69,
Tunisia,23.87,,79.9,,2.37,,145.89,
Turkey,304.47,,118.1,,4.17,,388.58,
Turkmenistan,45.81,,...,,9.2,,93.85,
Turks and Caicos Islands,0.16,,...,,4.87,,166.67,
Uganda,3.2,,291.8,,0.1,,13.3,
Ukraine,340.15,,-52.5,,7.35,,563.62,
United Arab Emirates,135.54,,147.3,,31.06,, 1 621.29,
United Kingdom,546.43,,-7.6,,8.97,, 2 249.59,
United Rep. of Tanzania,6.04,,154.5,,0.1,,6.39,
United States, 6 094.39,,20.2,,19.74,,632.91,
Uruguay,6.22,,55.7,,1.86,,35.29,
Uzbekistan,116.09,,...,,4.32,,259.48,
Vanuatu,0.1,,47.1,,0.45,,8.45,
Venezuela (Bolivarian Republic of),165.55,,35.5,,5.99,,181.51,
Viet Nam,111.38,,420.3,,1.29,,336.27,
Wallis and Futuna Islands,0.03,,...,,1.92,,204.23,
Western Sahara,0.24,,20.2,,0.5,,0.89,
Yemen,21.98,,129,,0.99,,41.62,
Zambia,2.69,,10.1,,0.22,,3.58,
Zimbabwe,9.64,,-37.9,,0.77,,24.66,
